c03041c3-bd3a-4e42-9ea3-4f6052e5d6e9;Hello;Adele;Pop;295;25
1b6eae51-131c-41e6-8f9d-26bd4d7c59ef;Shape of You;Ed Sheeran;Pop;234;÷ (Divide)
c9acb9c7-4bed-4fdf-97e1-062da4bd1efe;Love Story;Taylor Swift;Country;235;Fearless
d722003c-2029-44e6-a09e-5a182746d1db;Uptown Funk;Bruno Mars;Funk;270;24K Magic
07fb36b3-17de-4a4c-8a01-06767d4684d9;Single Ladies;Beyoncé;R&B;203;I Am... Sasha Fierce
9a03bf33-f409-44f7-b175-568fa2b11823;Sorry;Justin Bieber;Pop;200;Purpose
c4dd8a46-c530-47a4-9cb8-32a2feaea4a4;Umbrella;Rihanna;R&B;262;Good Girl Gone Bad
6436bc6b-0bd1-4c63-b16c-00e999242e90;Hotline Bling;Drake;Hip-Hop;267;Views
453384ff-4a9a-480e-87f8-91223d1a5bad;Fix You;Coldplay;Alternative;294;X&Y
4da0e185-4c23-4d05-aac8-8ca0dc6c34eb;Thank U, Next;Ariana Grande;Pop;207;Thank U, Next
92ab9e23-613e-4ae3-9378-0824e846836c;Hips Don't Lie;Shakira;Pop;223;Oral Fixation, Vol. 2
21eaa6b8-607b-484e-864b-3c39a3df1182;Illegal;Shakira;Pop;220;Oral Fixation, Vol. 2
7d648c40-fe3d-4414-9cc8-0eb7b657666f;The Day and the Time;Shakira;Pop;231;Oral Fixation, Vol. 2
4c0c70b7-6e44-4a4b-85cf-ee8763aeafe6;Animal City;Shakira;Pop;218;Oral Fixation, Vol. 2
dce5ab92-a0e2-4bf2-9b12-3877eaa9d673;Dreams for Plans;Shakira;Pop;248;Oral Fixation, Vol. 2
45a5db6d-1842-4344-8bd6-9db78f6d8ed0;Hey You;Shakira;Pop;245;Oral Fixation, Vol. 2
6930806b-6da8-4354-a97a-7d20833d5637;Your Embrace;Shakira;Pop;262;Oral Fixation, Vol. 2
0fcbbeb3-bc4d-44e0-9871-71729a808d8f;Costume Makes the Clown;Shakira;Pop;210;Oral Fixation, Vol. 2
8fd96963-d89e-4de5-8f0d-3a6370ee4feb;Something;Shakira;Pop;233;Oral Fixation, Vol. 2s